AUDITUSER,AUDITTIMESTAMP,EGROUPID,USERID,ACCESSLEVEL
OPSSYS_BD,"2024-02-19 14:00:00.770",3,239,2
OPSSYS_BD,"2024-02-19 14:00:00.770",1,240,2
OPSSYS_BD,"2024-02-19 14:00:00.770",2,240,2
OPSSYS_BD,"2024-02-19 14:00:00.773",3,240,2
OPSSYS_BD,"2024-02-19 14:00:00.773",1,243,2
OPSSYS_BD,"2024-02-19 14:00:00.777",2,243,2
OPSSYS_BD,"2024-02-19 14:00:00.777",3,243,2
OPSSYS_BD,"2024-02-19 14:00:00.777",1,244,2
OPSSYS_BD,"2024-02-19 14:00:00.780",2,244,2
OPSSYS_BD,"2024-02-19 14:00:00.780",3,244,2
OPSSYS_BD,"2024-02-19 14:00:00.780",1,245,2
OPSSYS_BD,"2024-02-19 14:00:00.780",2,245,2
OPSSYS_BD,"2024-02-19 14:00:00.783",3,245,2
OPSSYS_BD,"2024-02-19 14:00:00.783",1,246,2
OPSSYS_BD,"2024-02-19 14:00:00.783",2,246,2
OPSSYS_BD,"2024-02-19 14:00:00.787",3,246,2
OPSSYS_BD,"2024-02-19 14:00:00.787",1,249,2
OPSSYS_BD,"2024-02-19 14:00:00.787",2,249,2
OPSSYS_BD,"2024-02-19 14:00:00.790",3,249,2
OPSSYS_BD,"2024-02-19 14:00:00.790",1,250,2
OPSSYS_BD,"2024-02-19 14:00:00.790",2,250,2
OPSSYS_BD,"2024-02-19 14:00:00.793",3,250,2
OPSSYS_BD,"2024-02-19 14:00:00.793",1,251,2
OPSSYS_BD,"2024-02-19 14:00:00.793",2,251,2
OPSSYS_BD,"2024-02-19 14:00:00.797",3,251,2
OPSSYS_BD,"2024-02-19 14:00:00.797",1,252,2
OPSSYS_BD,"2024-02-19 14:00:00.797",2,252,2
OPSSYS_BD,"2024-02-19 14:00:00.800",3,252,2
OPSSYS_BD,"2024-02-19 14:00:00.800",1,261,2
OPSSYS_BD,"2024-02-19 14:00:00.800",2,261,2
OPSSYS_BD,"2024-02-19 14:00:00.803",3,261,2
OPSSYS_BD,"2024-02-19 14:00:00.803",1,307,2
OPSSYS_BD,"2024-02-19 14:00:00.807",2,307,2
